SchemeName,State,Date,Total
Number of applications for Agriculture Schemes,AP,15-01-2019,233456
Number of applications for Agriculture Schemes,AP,15-02-2019,504508
Number of applications for Agriculture Schemes,AP,15-03-2019,628803
Number of applications for Agriculture Schemes,AP,15-04-2019,836054
Number of applications for Agriculture Schemes,AP,16-04-2019,251365
Number of applications for Agriculture Schemes,AP,17-04-2019,768036
Number of applications for Agriculture Schemes,AP,18-04-2019,810739
Number of applications for Agriculture Schemes,AP,19-04-2019,911461
Number of applications for Agriculture Schemes,AP,20-04-2019,856974
Number of applications for Agriculture Schemes,AP,21-04-2019,977855
Number of applications for Agriculture Schemes,AP,22-04-2019,1000675
Number of applications for Agriculture Schemes,AP,23-04-2019,1123980
Number of applications for Agriculture Schemes,AP,24-04-2019,526412
Number of applications for Agriculture Schemes,AP,25-04-2019,815619
Number of applications for Agriculture Schemes,AP,26-04-2019,846748
Number of applications for Agriculture Schemes,AP,27-04-2019,1021656
Number of applications for Agriculture Schemes,AP,28-04-2019,956861
Number of applications for Agriculture Schemes,AP,29-04-2019,943657
Number of applications for Agriculture Schemes,AP,30-04-2019,1072903
Number of applications for Agriculture Schemes,AP,01-05-2019,1034128
Number of applications for Agriculture Schemes,AP,02-05-2019,911897
Number of applications for Agriculture Schemes,AP,03-05-2019,929318
Number of applications for Agriculture Schemes,AP,04-05-2019,806197
Number of applications for Agriculture Schemes,TS,05-05-2019,896531
Number of applications for Agriculture Schemes,TS,06-05-2019,264938
Number of applications for Agriculture Schemes,TS,07-05-2019,342134
Number of applications for Agriculture Schemes,TS,08-05-2019,407710
Number of applications for Agriculture Schemes,TS,09-05-2019,546438
Number of applications for Agriculture Schemes,TS,10-05-2019,504287
Number of applications for Agriculture Schemes,TS,11-05-2019,969982
Number of applications for Agriculture Schemes,TS,12-05-2019,1019089
Number of applications for Agriculture Schemes,TS,13-05-2019,891671
Number of applications for Agriculture Schemes,TS,14-05-2019,816217
Number of applications for Agriculture Schemes,TS,15-05-2019,789457
Number of applications for Agriculture Schemes,TS,16-05-2019,707114
Number of applications for Agriculture Schemes,TS,17-05-2019,980369
Number of applications for Agriculture Schemes,TS,18-05-2019,579791
Number of applications for Agriculture Schemes,TS,19-05-2019,644253
Number of applications for Agriculture Schemes,TS,20-05-2019,754960
Number of applications for Agriculture Schemes,TS,21-05-2019,846514
Number of applications for Agriculture Schemes,TS,22-05-2019,852801
Number of applications for Agriculture Schemes,TS,23-05-2019,928216
Number of applications for Agriculture Schemes,TS,24-05-2019,922437
Number of applications for Agriculture Schemes,TS,25-05-2019,1012085
Number of applications for Agriculture Schemes,TS,26-05-2019,894918
Number of applications for Agriculture Schemes,TS,27-05-2019,855451
Number of applications for Agriculture Schemes,TS,28-05-2019,874404
